id,title,company,experience,salary,location,description,url,role,skills,posted_date,posted_date_cleaned,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
1,Data Analyst(English Required),Peroptyx,0 - 5 years,Not Disclosed,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country.",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-190525014880,Data Analyst,N/A,2 weeks ago,2025-06-17,,,,2.5,Remote,
2,Data Analyst - B,Capgemini,2 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-b-capgemini-technology-services-india-limited-bengaluru-2-to-4-years-300625906437,Data Analyst,N/A,1 day ago,2025-06-30,,,,3.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
3,Data Analyst,Sprinklr,0 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",What we're Looking For,https://www.naukri.com/job-listings-data-analyst-sprinklr-solutions-pvt-ltd-bengaluru-0-to-3-years-250625504396,Data Analyst,"Global marketing, SAS, Analytical, Consulting, data visualization, microsoft, Forecasting, Enterprise software, Analytics, SQL",5 days ago,2025-06-26,,,,1.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Global Marketing, Sas, Analytical, Consulting, Data Visualization, Microsoft, Forecasting, Enterprise Software, Analytics, Sql"
4,Data Analyst,Capgemini,2 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-noida-2-to-5-years-240625928244,Data Analyst,N/A,6 days ago,2025-06-25,,,,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune",
5,Data Analyst,Capco,0 - 1 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune, Bengaluru",,https://www.naukri.com/job-listings-data-analyst-capco-pune-bengaluru-0-to-1-years-190625029849,Data Analyst,N/A,1 week ago,2025-06-24,,,,0.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
6,Data Analyst - B,Capgemini,2 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-b-capgemini-technology-services-india-limited-chennai-2-to-5-years-010725920203,Data Analyst,N/A,Just now,,,,,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
7,"Data Analyst, Reimbursement, IN Seller Reimbursements",Amazon,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-analyst-reimbursement-in-seller-reimbursements-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-7-years-190625504099,Data Analyst,"Automation, SAS, Business analysis, Analytical, Account management, SPSS, Data mining, Monitoring, SQL, Capacity planning",1 week ago,2025-06-24,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Automation, Sas, Business Analysis, Analytical, Account Management, Spss, Data Mining, Monitoring, Sql, Capacity Planning"
8,Data Analyst (Contractual),Aditya Birla Management Corporation (ABMCPL),3 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai (All Areas)",,https://www.naukri.com/job-listings-data-analyst-contractual-aditya-birla-management-corporation-abmcpl-mumbai-all-areas-3-to-5-years-240625016031,Data Analyst,N/A,1 week ago,2025-06-24,,,,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
9,"Data Analyst, EMSX",Amazon,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-analyst-emsx-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-7-years-190625504098,Data Analyst,"Automation, SAS, Data management, Data modeling, Business analysis, Windows, SPSS, Data mining, SQL, Python",1 week ago,2025-06-24,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Automation, Sas, Data Management, Data Modeling, Business Analysis, Windows, Spss, Data Mining, Sql, Python"
10,Data Analyst,NTT DATA Business Solutions,0 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-analyst-ntt-data-bengaluru-0-to-5-years-250625501149,Data Analyst,"Data analysis, Business analysis, Artificial Intelligence, Reconciliation, Agile, Scrum, Data Analyst, Stakeholder management, Reporting tools, SQL",5 days ago,2025-06-26,,,,2.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Data Analysis, Business Analysis, Artificial Intelligence, Reconciliation, Agile, Scrum, Data Analyst, Stakeholder Management, Reporting Tools, Sql"
