id,title,company,experience,salary,location,description,url,role,skills,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
1,Data Analyst,iRageCapital,0 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gandhinagar",We're looking for data enthusiast who  thrives on transforming raw numbers into  strategic insights.,https://www.naukri.com/job-listings-data-analyst-irage-broking-services-llp-gandhinagar-0-to-3-years-060625026487,Data Analyst,,,,,1.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
2,Data Analyst,Decision Tree Analytics &  Services,0 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",DATA ANALYST (FRESHER),https://www.naukri.com/job-listings-data-analyst-decision-tree-analytics-services-gurugram-0-to-0-years-300525029094,Data Analyst,,,,,0.0,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
3,Data Analyst (English Required),Peroptyx,0 - 4 years,Not Disclosed,Remote,Role & responsibilities,https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-ahmedabad-0-to-4-years-060625027538,Data Analyst,,,,,2.0,Remote,
4,Data Analyst,Target,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-target-corporation-india-pvt-ltd-bengaluru-2-to-6-years-050625924203,Data Analyst,,,,,4.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
5,Data Analyst,Cointab Software,0 - 1 years,2-3 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai (All Areas)",About the Role:,https://www.naukri.com/job-listings-data-analyst-cointab-software-pvt-ltd-mumbai-all-areas-0-to-1-years-040625021382,Data Analyst,,2.0,3.0,2.0,0.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
6,Data Analyst,Wiley,0 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Noida",read more,https://www.naukri.com/job-listings-data-analyst-wiley-noida-0-to-3-years-050625502292,Data Analyst,"Product management, Publishing, Business reporting, Analytical, Data processing, Data Analyst, data visualization, Analytics, Reporting tools, SQL",,,,1.5,"Chennai, Delhi, Hyderabad, Mumbai, Noida, Pune","Product Management, Publishing, Business Reporting, Analytical, Data Processing, Data Analyst, Data Visualization, Analytics, Reporting Tools, Sql"
7,Data Analyst,Aditya Birla Management Corporation (ABMCPL),2 - 4 years,4-6 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai (All Areas)( Prabhadevi )",,https://www.naukri.com/job-listings-data-analyst-aditya-birla-management-corporation-abmcpl-mumbai-all-areas-2-to-4-years-040625017506,Data Analyst,,4.0,6.0,5.0,3.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
8,Client Data Analyst,JPMorgan Chase Bank,0 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Take a lead role in acquiring, managing and retaining meaningful relationships that deliver outstanding experience to our customers.",https://www.naukri.com/job-listings-client-data-analyst-jp-morgan-chase-bengaluru-0-to-4-years-300525500070,Data Analyst,"Due diligence, Quality standards, Compliance, Analytical, Focus, Data Analyst, Research, Management, Customer engagement, Auditing",,,,2.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Due Diligence, Quality Standards, Compliance, Analytical, Focus, Data Analyst, Research, Management, Customer Engagement, Auditing"
9,Data Analyst,Posted by Mumbai Rozgaar,2 - 6 years,5.5-12 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai, Mumbai (All Areas)",We have a job opportunity for Startup into Fintech Domain catering to Pharmacy.,https://www.naukri.com/job-listings-data-analyst-mumbai-rozgaar-mumbai-mumbai-all-areas-2-to-6-years-050625023876,Data Analyst,,5.0,5.0,5.0,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
10,Data Analyst,An Indian MNC Company,0 - 2 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Ranchi",Do you have experience in data analyst?,https://www.naukri.com/job-listings-data-analyst-an-indian-mnc-company-ranchi-0-to-2-years-250425018782,Data Analyst,,,,,1.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune, Ranchi",
