title,company,experience,salary,description,url,role
Data Analyst,Decision Tree Analytics &  Services,0 years,Not Disclosed,DATA ANALYST (FRESHER),https://www.naukri.com/job-listings-data-analyst-decision-tree-analytics-services-gurugram-0-to-0-years-300525029094,data analyst
Data Analyst,Cointab Software,0 - 1 years,2-3 Lacs P.A.,About the Role:,https://www.naukri.com/job-listings-data-analyst-cointab-software-pvt-ltd-mumbai-all-areas-0-to-1-years-040625021382,data analyst
Data Analyst,Hsbc,0 - 4 years,Not Disclosed,,https://www.naukri.com/job-listings-data-analyst-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-0-to-4-years-040625500042,data analyst
ML Data Analyst,Netomi,2 - 5 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-ml-data-analyst-netomi-remote-2-to-5-years-300525502754,data analyst
Data Analyst,Posted by Teknuova Solutions,0 - 4 years,Not Disclosed,APPLY HERE:  https://p.hck.re/nsid,https://www.naukri.com/job-listings-data-analyst-teknuova-solutions-gurugram-0-to-4-years-210525014171,data analyst
ML Data Analyst,Netomi,2 - 5 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-ml-data-analyst-msg-ai-gurugram-2-to-5-years-300525501288,data analyst
Data Analyst,Barclays,0 - 8 years,Not Disclosed,,https://www.naukri.com/job-listings-data-analyst-barclays-shared-services-chennai-0-to-8-years-300525500105,data analyst
Data Analyst,Aditya Birla Management Corporation (ABMCPL),2 - 4 years,4-6 Lacs P.A.,,https://www.naukri.com/job-listings-data-analyst-aditya-birla-management-corporation-abmcpl-mumbai-all-areas-2-to-4-years-040625017506,data analyst
Data Analyst,Talkdesk,1 - 3 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-talkdesk-bengaluru-1-to-3-years-040625500643,data analyst
Client Data Analyst,JPMorgan Chase Bank,0 - 4 years,Not Disclosed,"Take a lead role in acquiring, managing and retaining meaningful relationships that deliver outstanding experience to our customers.",https://www.naukri.com/job-listings-client-data-analyst-jp-morgan-chase-bengaluru-0-to-4-years-300525500070,data analyst
Data Analyst,An Indian MNC Company,0 - 2 years,Not Disclosed,Do you have experience in data analyst?,https://www.naukri.com/job-listings-data-analyst-an-indian-mnc-company-ranchi-0-to-2-years-250425018782,data analyst
Data Analyst,Cigna,2 - 6 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-cigna-health-solutions-india-private-limited-bengaluru-2-to-6-years-290525927623,data analyst
Data Governance Analyst,Barclays,0 - 8 years,Not Disclosed,"Join us as a Data Governance Analyst at Barclays,  where you will be responsible for supporting the successful delivery of location strategy projects to plan,  budget,  agreed quality and governance standards.  Youll spearhead the evolution of our digital landscape,  driving innovation and excellence.  You will harness cutting-edge technology to revolutionise our digital offerings,  ensuring unparalleled customer experiences.",https://www.naukri.com/job-listings-data-governance-analyst-barclays-shared-services-pune-chennai-0-to-8-years-040625500031,data analyst
Data Strategy Analyst,Barclays,0 - 8 years,Not Disclosed,,https://www.naukri.com/job-listings-data-strategy-analyst-barclays-shared-services-noida-0-to-8-years-040625500032,data analyst
"Data Analyst-Mapping, Modelling",Capco,1 - 6 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-mapping-modelling-capco-technologies-pvt-ltd-bengaluru-1-to-6-years-300525930610,data analyst
Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,4 - 5 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-analyst-sodexo-food-solutions-india-pvt-ltd-ces-ahmedabad-4-to-5-years-290525500412,data analyst
Data Analyst,Garden City Games,1 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-garden-city-games-bengaluru-1-to-4-years-030625501749,data analyst
Data Analyst,Pitney Bowes (PBI),4 - 5 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-pitney-bowes-india-pvt-ltd-noida-4-to-5-years-040625502047,data analyst
